Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",587.89,591.74,584.41,588.22,586.46,"56,578,800"
"Dec 27, 2024",597.54,597.78,590.76,595.01,593.23,"64,969,300"
"Dec 26, 2024",599.5,602.48,598.08,601.34,599.54,"41,219,100"
"Dec 24, 2024",596.06,601.34,595.47,601.3,599.5,"33,160,100"
"Dec 23, 2024",590.89,595.3,587.66,594.69,592.91,"57,635,800"
"Dec 20, 2024",1.966 Dividend,,,,,
"Dec 20, 2024",581.77,595.75,580.91,591.15,589.38,"125,716,700"
"Dec 19, 2024",591.36,593,585.85,586.1,582.38,"85,919,500"
"Dec 18, 2024",603.98,606.41,585.89,586.28,582.56,"108,248,700"
"Dec 17, 2024",604.19,605.17,602.89,604.29,600.46,"55,773,500"
"Dec 16, 2024",606,607.78,605.21,606.79,602.94,"43,695,200"
"Dec 13, 2024",606.4,607.13,602.81,604.21,600.38,"35,904,700"
"Dec 12, 2024",606.58,607.16,604.33,604.33,600.5,"31,543,800"
"Dec 11, 2024",605.78,608.43,605.5,607.46,603.61,"28,677,700"
"Dec 10, 2024",605.37,605.8,602.13,602.8,598.98,"37,234,500"
"Dec 9, 2024",607.69,607.86,604.08,604.68,600.84,"34,742,700"
"Dec 6, 2024",607.44,609.07,607.02,607.81,603.95,"31,241,500"
"Dec 5, 2024",607.66,608.48,606.3,606.66,602.81,"28,762,200"
"Dec 4, 2024",605.63,607.91,604.95,607.66,603.81,"42,787,600"
"Dec 3, 2024",603.39,604.16,602.34,603.91,600.08,"26,906,600"
"Dec 2, 2024",602.97,604.32,602.47,603.63,599.8,"31,746,000"
"Nov 29, 2024",599.66,603.35,599.38,602.55,598.73,"30,177,400"
"Nov 27, 2024",600.46,600.85,597.28,598.83,595.03,"34,000,200"
"Nov 26, 2024",598.8,601.33,598.07,600.65,596.84,"45,621,300"
"Nov 25, 2024",599.52,600.86,595.2,597.53,593.74,"42,441,400"
"Nov 22, 2024",593.66,596.15,593.15,595.51,591.73,"38,226,400"
"Nov 21, 2024",593.4,595.12,587.45,593.67,589.9,"46,750,300"
"Nov 20, 2024",590.38,590.79,584.63,590.5,586.75,"50,032,600"
"Nov 19, 2024",584.71,591.04,584.03,590.3,586.56,"49,412,000"
"Nov 18, 2024",586.22,589.49,585.34,588.15,584.42,"37,084,100"
"Nov 15, 2024",589.72,590.2,583.86,585.75,582.03,"75,988,800"
"Nov 14, 2024",597.32,597.81,592.65,593.35,589.59,"38,904,100"
"Nov 13, 2024",597.37,599.23,594.96,597.19,593.4,"47,388,600"
"Nov 12, 2024",598.68,599.29,594.37,596.9,593.11,"43,006,100"
"Nov 11, 2024",599.81,600.17,597,598.76,594.96,"37,586,800"
"Nov 8, 2024",596.17,599.64,596.17,598.19,594.4,"46,444,900"
"Nov 7, 2024",593.08,596.65,593,595.61,591.83,"47,233,200"
"Nov 6, 2024",589.2,591.93,585.39,591.04,587.29,"68,182,000"
