Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",84.39,84.39,83.4,83.8,83.4,"3,764,100"
"Dec 27, 2024",84.97,85.71,84.61,84.94,84.54,"4,284,000"
"Dec 26, 2024",85.18,85.72,84.97,85.4,84.99,"3,258,800"
"Dec 24, 2024",85.09,85.6,84.68,85.53,85.12,"2,751,200"
"Dec 23, 2024",0.444 Dividend,,,,,
"Dec 23, 2024",85.03,85.17,84.26,85.07,84.67,"5,669,200"
"Dec 20, 2024",84.38,86.08,84.33,85.58,84.73,"7,342,300"
"Dec 19, 2024",85.53,86.12,84.51,84.53,83.69,"6,247,800"
"Dec 18, 2024",87.9,88.2,85.41,85.45,84.6,"7,398,700"
"Dec 17, 2024",88.05,88.69,87.93,87.95,87.08,"4,144,900"
"Dec 16, 2024",89.05,89.36,88.4,88.44,87.56,"5,243,300"
"Dec 13, 2024",89.68,89.81,88.93,89.23,88.35,"4,049,400"
"Dec 12, 2024",90.31,90.56,89.96,90,89.11,"3,647,000"
"Dec 11, 2024",91.25,91.25,90.57,90.63,89.73,"6,144,100"
"Dec 10, 2024",91.78,91.85,90.39,90.95,90.05,"3,859,300"
"Dec 9, 2024",92.64,93.15,91.87,91.89,90.98,"4,708,800"
"Dec 6, 2024",92.5,92.63,91.87,91.91,91,"3,565,500"
"Dec 5, 2024",93,93.14,91.84,92.27,91.36,"6,381,400"
"Dec 4, 2024",94.05,94.11,93.21,93.5,92.57,"5,432,900"
"Dec 3, 2024",95.1,95.18,94.24,94.42,93.48,"5,549,600"
"Dec 2, 2024",94.88,94.94,94.05,94.72,93.78,"6,392,800"
"Nov 29, 2024",94.31,94.86,94.17,94.78,93.84,"2,132,600"
"Nov 27, 2024",94.49,95.16,94.18,94.3,93.37,"7,023,700"
"Nov 26, 2024",94.82,94.82,93.99,94.35,93.42,"3,052,300"
"Nov 25, 2024",94.47,95.2,94.36,95.06,94.12,"3,762,300"
"Nov 22, 2024",93.49,94.2,93.43,94.09,93.16,"2,928,600"
"Nov 21, 2024",92.46,93.6,92.19,93.57,92.64,"4,201,200"
"Nov 20, 2024",91.74,92.55,91.38,92.44,91.52,"4,172,900"
"Nov 19, 2024",91.3,91.84,90.82,91.69,90.78,"3,270,300"
