Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",84.57,85.03,83.85,84.55,83.9,"11,772,700"
"Dec 27, 2024",84.5,85.48,84.14,84.56,83.91,"10,184,900"
"Dec 26, 2024",84.67,84.72,84.05,84.57,83.92,"7,693,200"
"Dec 24, 2024",84.17,84.8,83.62,84.64,83.98,"7,512,100"
"Dec 23, 2024",0.7 Dividend,,,,,
"Dec 23, 2024",83.31,84.21,82.75,83.93,83.28,"17,222,700"
"Dec 20, 2024",83.31,84.43,83.09,84.14,82.79,"17,852,400"
"Dec 19, 2024",84.94,85.21,83.26,83.32,81.99,"24,990,700"
"Dec 18, 2024",86.37,86.78,84.05,84.05,82.71,"19,620,600"
"Dec 17, 2024",86.6,86.77,85.8,86.61,85.22,"16,005,800"
"Dec 16, 2024",88.97,88.97,87.19,87.26,85.86,"12,518,100"
"Dec 13, 2024",89.89,89.92,88.97,89.22,87.79,"11,173,000"
"Dec 12, 2024",90.24,90.4,89.58,89.67,88.24,"10,873,100"
"Dec 11, 2024",90.44,90.74,89.96,90.4,88.95,"11,573,800"
"Dec 10, 2024",91.39,91.52,90.12,90.25,88.81,"11,649,900"
"Dec 9, 2024",91.78,92.27,90.79,90.87,89.42,"11,813,900"
"Dec 6, 2024",92.4,92.41,90.85,91.02,89.56,"13,103,300"
"Dec 5, 2024",92.57,93.2,92.2,92.59,91.11,"11,331,200"
"Dec 4, 2024",94.47,94.47,91.68,92.23,90.75,"16,259,000"
"Dec 3, 2024",95.13,95.3,94.1,94.51,93,"8,943,300"
"Dec 2, 2024",95.5,95.66,93.67,94.52,93.01,"11,095,000"
"Nov 29, 2024",95.33,95.69,95.16,95.53,94,"6,818,200"
"Nov 27, 2024",95.13,95.93,95,95.12,93.6,"7,797,800"
"Nov 26, 2024",95.48,95.68,94.78,95.22,93.7,"12,466,400"
"Nov 25, 2024",97.25,97.74,95.12,95.35,93.82,"16,475,300"
"Nov 22, 2024",96.99,97.92,96.9,97.27,95.71,"10,777,800"
"Nov 21, 2024",96.78,97.85,96.54,97.12,95.57,"16,770,500"
"Nov 20, 2024",95.73,96.41,95.43,96.34,94.8,"8,958,800"
"Nov 19, 2024",95.22,95.95,94.93,95.38,93.85,"11,898,200"
"Nov 18, 2024",95.48,96.18,95.06,95.99,94.45,"12,617,800"
"Nov 15, 2024",94.78,95.69,94.39,94.73,93.21,"14,040,200"
"Nov 14, 2024",95.14,95.18,94.27,94.87,93.35,"9,005,500"
"Nov 13, 2024",94.06,94.9,92.93,94.51,93,"11,838,100"
"Nov 12, 2024",94.55,94.85,93.68,93.78,92.28,"9,250,200"
"Nov 11, 2024",93.77,94.6,93.33,94.28,92.77,"10,454,700"
"Nov 8, 2024",93.14,93.89,92.77,93.75,92.25,"11,168,400"
"Nov 7, 2024",93.5,93.5,92.42,93.13,91.64,"13,069,000"
"Nov 6, 2024",92.65,94.27,92.05,93.56,92.06,"25,026,600"
"Nov 5, 2024",90.01,90.4,89.61,90.17,88.73,"10,438,300"
"Nov 4, 2024",88.63,89.71,88.51,89.57,88.14,"12,905,900"
"Nov 1, 2024",89.79,90.11,87.85,88.03,86.62,"13,152,300"
"Oct 31, 2024",88.6,89.26,88.36,88.59,87.17,"15,811,600"
"Oct 30, 2024",88.15,88.73,87.81,88.04,86.63,"9,682,100"
"Oct 29, 2024",89,89.07,87.65,87.84,86.44,"11,895,800"
"Oct 28, 2024",87.86,89.26,87.78,89.2,87.77,"12,114,000"
"Oct 25, 2024",90.28,90.52,89.51,89.77,88.33,"9,552,300"
"Oct 24, 2024",90,90.27,89.2,89.8,88.36,"8,523,300"
"Oct 23, 2024",90.03,90.38,89.29,89.81,88.37,"9,906,600"
"Oct 22, 2024",90.4,90.7,89.95,90.28,88.84,"8,978,200"
"Oct 21, 2024",90.94,91.23,89.91,90.07,88.63,"10,581,000"
"Oct 18, 2024",90.47,90.73,89.7,90.34,88.9,"12,007,600"
"Oct 17, 2024",90.2,90.94,90.1,90.64,89.19,"10,716,700"
"Oct 16, 2024",90.29,90.51,89.97,90.21,88.77,"9,938,500"
"Oct 15, 2024",90.3,90.9,89.73,89.78,88.34,"18,919,600"
"Oct 14, 2024",92.16,92.92,92.02,92.77,91.29,"11,099,300"
"Oct 11, 2024",92.21,93.14,92.03,92.81,91.33,"13,207,300"
"Oct 10, 2024",92.13,92.75,91.46,92.24,90.76,"13,023,700"
"Oct 9, 2024",90.39,91.86,90.21,91.62,90.15,"15,759,800"
"Oct 8, 2024",92.3,92.4,90.63,91.07,89.61,"19,879,900"
"Oct 7, 2024",93.51,94.21,93.2,93.51,92.01,"16,259,700"
"Oct 4, 2024",93.1,93.47,92.25,93.18,91.69,"17,972,800"
"Oct 3, 2024",91.04,92.44,90.35,92.32,90.84,"22,363,000"
"Oct 2, 2024",91.06,91.29,89.71,90.72,89.27,"20,962,600"
"Oct 1, 2024",87.01,90.16,86.9,89.8,88.36,"33,057,100"
"Sep 30, 2024",87.03,87.96,86.53,87.8,86.4,"11,403,300"
"Sep 27, 2024",85.91,87.32,85.86,87.19,85.8,"15,244,800"
