Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",48.25,48.5,47.86,48.28,48.11,"34,819,800"
"Dec 27, 2024",48.85,49.17,48.49,48.75,48.57,"33,852,400"
"Dec 26, 2024",48.77,49.13,48.74,49.11,48.93,"20,805,600"
"Dec 24, 2024",48.52,49.01,48.43,48.99,48.81,"18,350,500"
"Dec 23, 2024",0.206 Dividend,,,,,
"Dec 23, 2024",48.06,48.46,47.87,48.42,48.24,"43,033,300"
"Dec 20, 2024",47.7,48.89,47.6,48.51,48.13,"56,066,100"
"Dec 19, 2024",48.17,48.53,47.79,47.8,47.42,"63,641,000"
"Dec 18, 2024",49.19,49.3,47.59,47.63,47.26,"72,399,500"
"Dec 17, 2024",49.26,49.27,48.93,49.1,48.71,"46,103,300"
"Dec 16, 2024",49.57,49.63,49.36,49.45,49.06,"35,242,800"
"Dec 13, 2024",49.78,49.8,49.43,49.54,49.15,"39,160,400"
"Dec 12, 2024",49.93,49.97,49.58,49.58,49.19,"23,107,300"
"Dec 11, 2024",49.9,49.92,49.58,49.8,49.41,"35,035,900"
"Dec 10, 2024",49.75,49.98,49.39,49.7,49.31,"38,861,800"
"Dec 9, 2024",50.44,50.49,49.69,49.71,49.32,"41,998,300"
"Dec 6, 2024",50.4,50.57,50.26,50.4,50,"23,439,400"
"Dec 5, 2024",50.34,50.67,50.3,50.41,50.01,"33,599,300"
"Dec 4, 2024",50.4,50.44,50.09,50.26,49.87,"41,017,400"
"Dec 3, 2024",51.13,51.13,50.45,50.45,50.05,"46,924,300"
"Dec 2, 2024",51.42,51.49,50.7,50.83,50.43,"55,483,600"
"Nov 29, 2024",51.44,51.57,51.25,51.34,50.94,"15,178,400"
"Nov 27, 2024",51.23,51.62,51.21,51.26,50.86,"31,803,700"
"Nov 26, 2024",51.08,51.26,50.76,51.16,50.76,"28,418,400"
"Nov 25, 2024",51.01,51.25,50.86,51.06,50.66,"47,492,500"
"Nov 22, 2024",50.14,50.78,50.13,50.73,50.33,"42,050,800"
"Nov 21, 2024",49.79,50.4,49.66,50.17,49.78,"50,881,800"
"Nov 20, 2024",49.89,49.92,49.3,49.54,49.15,"33,932,500"
"Nov 19, 2024",49.62,49.88,49.42,49.69,49.3,"27,014,700"
"Nov 18, 2024",49.91,50.11,49.7,50.02,49.63,"27,146,800"
"Nov 15, 2024",49.64,50.01,49.61,49.87,49.48,"40,741,500"
"Nov 14, 2024",49.88,49.99,49.55,49.64,49.25,"38,252,800"
"Nov 13, 2024",49.84,50.13,49.69,49.77,49.38,"31,880,700"
"Nov 12, 2024",49.87,49.94,49.59,49.74,49.35,"58,512,400"
"Nov 11, 2024",49.68,50.14,49.67,49.89,49.5,"63,654,700"
"Nov 8, 2024",49.1,49.47,48.85,49.19,48.8,"60,376,500"
"Nov 7, 2024",49.44,49.44,48.66,48.75,48.37,"70,611,400"
"Nov 6, 2024",49.04,49.68,48.7,49.55,49.16,"153,473,400"
"Nov 5, 2024",46.32,46.73,46.23,46.71,46.34,"35,221,800"
"Nov 4, 2024",46.61,46.65,46.03,46.28,45.92,"41,705,600"
"Nov 1, 2024",46.63,47,46.52,46.64,46.27,"40,139,900"
"Oct 31, 2024",47.07,47.21,46.48,46.48,46.12,"53,417,100"
"Oct 30, 2024",46.98,47.43,46.94,47.13,46.76,"28,704,300"
"Oct 29, 2024",47.09,47.22,46.88,46.92,46.55,"27,930,900"
"Oct 28, 2024",46.87,47.25,46.86,47.21,46.84,"31,415,900"
"Oct 25, 2024",47.34,47.42,46.52,46.63,46.26,"25,526,500"
"Oct 24, 2024",47.12,47.21,46.86,47.15,46.78,"19,617,500"
"Oct 23, 2024",47.1,47.22,46.88,47.11,46.74,"20,697,200"
"Oct 22, 2024",47,47.23,46.78,47.15,46.78,"30,018,700"
"Oct 21, 2024",47.54,47.65,47.15,47.24,46.87,"26,207,400"
"Oct 18, 2024",47.61,47.72,47.35,47.62,47.25,"34,279,600"
"Oct 17, 2024",47.68,47.81,47.58,47.61,47.24,"45,823,400"
"Oct 16, 2024",47.08,47.5,46.99,47.48,47.11,"44,973,700"
"Oct 15, 2024",47.12,47.39,46.84,46.9,46.53,"42,356,800"
"Oct 14, 2024",46.59,46.85,46.46,46.8,46.43,"35,850,800"
"Oct 11, 2024",45.92,46.6,45.89,46.51,46.14,"52,850,300"
"Oct 10, 2024",45.82,45.86,45.44,45.63,45.27,"34,127,400"
"Oct 9, 2024",45.35,45.86,45.26,45.77,45.41,"28,334,300"
"Oct 8, 2024",45.26,45.46,45.18,45.35,44.99,"28,763,000"
"Oct 7, 2024",45.65,45.67,44.9,45.09,44.74,"26,599,300"
"Oct 4, 2024",45.33,45.69,45.15,45.65,45.29,"40,432,000"
"Oct 3, 2024",44.96,45.05,44.67,44.89,44.54,"23,545,700"
"Oct 2, 2024",45.06,45.23,44.83,45.13,44.78,"37,709,400"
