Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",131.81,132.54,130.64,131.92,131.52,"8,725,500"
"Dec 27, 2024",133.49,134.26,132.49,133.26,132.85,"6,060,000"
"Dec 26, 2024",133.85,134.59,133.51,134.26,133.85,"4,749,500"
"Dec 24, 2024",132.98,134.22,132.73,134.16,133.75,"2,972,900"
"Dec 23, 2024",0.67 Dividend,,,,,
"Dec 23, 2024",132.99,133.32,132.01,133.12,132.71,"8,022,300"
"Dec 20, 2024",132.14,134.81,131.81,133.82,132.74,"11,849,600"
"Dec 19, 2024",133.08,134.05,132.22,132.27,131.2,"12,507,400"
"Dec 18, 2024",136.48,136.79,132.35,132.44,131.37,"13,428,100"
"Dec 17, 2024",136.96,137.27,135.97,136.29,135.19,"6,861,700"
"Dec 16, 2024",137.58,138.06,137.11,137.55,136.44,"6,573,400"
"Dec 13, 2024",137.95,138.1,137.29,137.43,136.32,"6,709,900"
"Dec 12, 2024",138.75,138.95,137.72,137.79,136.68,"7,081,600"
"Dec 11, 2024",139.72,139.93,138.62,138.68,137.56,"6,168,900"
"Dec 10, 2024",139.17,139.52,138.19,139,137.88,"7,382,800"
"Dec 9, 2024",140.59,140.75,139.26,139.34,138.22,"7,434,200"
"Dec 6, 2024",141.34,141.66,140.33,140.56,139.43,"5,432,800"
"Dec 5, 2024",142.65,142.77,140.89,140.92,139.79,"5,233,900"
"Dec 4, 2024",142.05,142.66,141.66,142.65,141.5,"5,727,700"
"Dec 3, 2024",142.98,143.22,141.56,142.03,140.89,"4,528,000"
"Dec 2, 2024",143.9,144.11,142.74,142.93,141.78,"6,217,500"
"Nov 29, 2024",143.4,144.26,143.4,143.99,142.83,"3,091,500"
"Nov 27, 2024",144.15,144.51,143.14,143.18,142.03,"5,561,100"
"Nov 26, 2024",143.37,143.97,142.83,143.71,142.55,"6,524,900"
"Nov 25, 2024",143.38,143.93,142.92,143.54,142.38,"7,411,700"
"Nov 22, 2024",141.06,142.69,140.93,142.65,141.5,"7,924,300"
"Nov 21, 2024",139.62,141.18,139.08,140.69,139.56,"9,677,300"
"Nov 20, 2024",139.13,139.28,137.93,138.95,137.83,"6,527,600"
