Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",234.03,236.34,232.58,234.47,234.06,"3,975,200"
"Dec 27, 2024",239.07,239.38,235.15,237.49,237.07,"4,363,200"
"Dec 26, 2024",239.76,241.57,238.99,240.69,240.27,"3,575,400"
"Dec 24, 2024",238.92,240.54,238.56,240.53,240.11,"2,326,700"
"Dec 23, 2024",0.386 Dividend,,,,,
"Dec 23, 2024",236.25,238.17,234.99,238.07,237.65,"3,986,700"
"Dec 20, 2024",230.91,237.86,230.19,235.96,235.16,"7,462,400"
"Dec 19, 2024",234.6,235.36,232.19,232.49,231.7,"6,691,700"
"Dec 18, 2024",240.79,241.45,231.7,232.24,231.45,"8,463,600"
"Dec 17, 2024",239.73,240.92,238.81,239.98,239.17,"4,072,500"
"Dec 16, 2024",239.36,241.65,238.85,241.44,240.62,"4,721,300"
"Dec 13, 2024",240.18,241.12,237.15,239.05,238.24,"4,338,500"
"Dec 12, 2024",237.84,238.91,237.26,238.03,237.22,"3,609,100"
"Dec 11, 2024",237.82,240.13,237,239.37,238.56,"4,344,800"
"Dec 10, 2024",238.46,239.11,235.2,235.95,235.15,"5,617,200"
"Dec 9, 2024",239.94,240.8,238.66,239.27,238.46,"4,016,200"
"Dec 6, 2024",240.33,241.88,240.07,240.84,240.02,"3,327,100"
"Dec 5, 2024",240.75,241.03,239.58,239.91,239.1,"2,819,000"
"Dec 4, 2024",239.76,241.25,239.06,241.13,240.31,"5,420,000"
"Dec 3, 2024",234.95,236.86,234.49,236.8,236,"2,788,000"
"Dec 2, 2024",233.9,236.83,233.84,235.95,235.15,"4,699,100"
"Nov 29, 2024",232.12,234.22,231.89,233.73,232.94,"2,084,200"
"Nov 27, 2024",233.17,233.31,229.53,231.58,230.8,"3,184,700"
"Nov 26, 2024",234.65,235.49,233.76,234.76,233.97,"3,114,700"
"Nov 25, 2024",235.36,235.77,232.53,233.59,232.8,"5,568,600"
"Nov 22, 2024",233.06,234.14,232.22,233.6,232.81,"3,545,400"
"Nov 21, 2024",233.37,234.57,229.8,233.48,232.69,"5,295,900"
"Nov 20, 2024",231.53,231.61,228.05,231.13,230.35,"4,437,200"
"Nov 19, 2024",228.01,231.52,228.01,231.33,230.55,"3,453,400"
"Nov 18, 2024",228.71,230.42,227.72,229.45,228.67,"3,086,100"
"Nov 15, 2024",231.63,231.93,227.95,228.71,227.94,"5,614,900"
"Nov 14, 2024",235.71,236.12,234.15,234.53,233.74,"3,301,000"
"Nov 13, 2024",235.65,237.07,234.6,235.33,234.53,"3,164,800"
"Nov 12, 2024",235.69,236.45,234.29,236.15,235.35,"3,765,400"
"Nov 11, 2024",237.13,237.28,234.44,235.85,235.05,"3,633,600"
