Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",78.96,79.01,78.12,78.37,77.96,"7,249,300"
"Dec 27, 2024",79.32,79.72,79.01,79.3,78.88,"6,601,700"
"Dec 26, 2024",79.29,79.74,79.22,79.69,79.27,"4,253,700"
"Dec 24, 2024",78.85,79.49,78.74,79.44,79.02,"3,932,600"
"Dec 23, 2024",0.602 Dividend,,,,,
"Dec 23, 2024",79.05,79.23,78.16,78.92,78.5,"11,469,000"
"Dec 20, 2024",79.62,80.4,79.35,79.94,78.92,"11,035,400"
"Dec 19, 2024",80.16,80.56,79.66,79.66,78.64,"15,778,400"
"Dec 18, 2024",81.16,81.43,80.21,80.23,79.21,"17,223,000"
"Dec 17, 2024",81.44,81.89,81.33,81.47,80.43,"8,535,900"
"Dec 16, 2024",82.07,82.48,81.59,81.61,80.57,"6,495,000"
"Dec 13, 2024",82.09,82.52,81.63,82.04,80.99,"8,154,300"
"Dec 12, 2024",82.53,82.62,82.12,82.25,81.2,"5,410,800"
"Dec 11, 2024",82.77,83.11,81.97,82.01,80.96,"9,046,100"
"Dec 10, 2024",82.19,82.84,81.86,82.64,81.59,"8,497,200"
"Dec 9, 2024",82.5,82.88,82.03,82.25,81.2,"11,614,000"
"Dec 6, 2024",82.81,83.29,82.38,82.38,81.33,"7,180,600"
"Dec 5, 2024",82.55,82.95,82.33,82.79,81.73,"12,639,000"
"Dec 4, 2024",82.47,82.58,82.05,82.46,81.41,"10,100,900"
"Dec 3, 2024",83.05,83.11,82.54,82.69,81.63,"11,053,200"
"Dec 2, 2024",83.14,83.22,82.52,83.12,82.06,"10,750,100"
"Nov 29, 2024",82.78,83.3,82.67,83.22,82.16,"4,982,600"
"Nov 27, 2024",83,83.24,82.65,82.8,81.74,"7,067,800"
"Nov 26, 2024",82.24,82.71,82.14,82.63,81.58,"6,973,600"
"Nov 25, 2024",82.38,82.63,82.04,82.29,81.24,"8,243,100"
"Nov 22, 2024",81.54,81.91,81.44,81.84,80.8,"7,703,800"
"Nov 21, 2024",80.31,81.18,80.09,81.09,80.06,"8,185,800"
"Nov 20, 2024",79.9,80.22,79.53,80.22,79.2,"7,687,200"
"Nov 19, 2024",80.73,80.89,80.14,80.63,79.6,"8,020,800"
"Nov 18, 2024",80.14,80.67,80.05,80.52,79.49,"8,747,600"
"Nov 15, 2024",80.6,80.66,79.92,79.96,78.94,"11,359,100"
"Nov 14, 2024",80.67,81.14,80.61,80.67,79.64,"7,572,200"
"Nov 13, 2024",80.64,80.95,80.4,80.87,79.84,"6,781,600"
"Nov 12, 2024",80.84,80.95,80.49,80.63,79.6,"13,518,000"
"Nov 11, 2024",80.71,81.45,80.48,80.54,79.51,"9,273,800"
"Nov 8, 2024",79.86,81.02,79.85,80.82,79.79,"11,530,300"
"Nov 7, 2024",79.73,80.31,79.67,79.85,78.83,"17,598,100"
"Nov 6, 2024",81.09,81.21,79.36,79.56,78.54,"18,487,700"
"Nov 5, 2024",80.17,80.88,80.02,80.88,79.85,"5,304,800"
"Nov 4, 2024",80.27,80.61,80.15,80.37,79.34,"6,958,900"
"Nov 1, 2024",80.38,80.44,80.05,80.15,79.13,"7,916,100"
"Oct 31, 2024",80.08,80.59,79.96,80.12,79.1,"10,905,300"
"Oct 30, 2024",80.3,80.54,80.05,80.28,79.26,"8,504,800"
"Oct 29, 2024",80.83,81.04,80.36,80.41,79.38,"9,459,900"
"Oct 28, 2024",81.38,81.56,81.17,81.21,80.17,"5,714,200"
"Oct 25, 2024",81.74,81.87,80.99,81.06,80.03,"6,546,900"
"Oct 24, 2024",81.83,82,81.5,81.74,80.7,"6,211,500"
"Oct 23, 2024",81.6,81.97,81.44,81.85,80.81,"6,926,500"
"Oct 22, 2024",81.43,82.11,81.35,82.01,80.96,"8,912,400"
"Oct 21, 2024",82.21,82.39,81.47,81.55,80.51,"8,704,600"
"Oct 18, 2024",81.88,82.27,81.64,82.24,81.19,"8,314,200"
"Oct 17, 2024",82.54,82.65,81.84,82.06,81.01,"7,716,400"
"Oct 16, 2024",82.21,82.54,82.02,82.43,81.38,"7,720,300"
"Oct 15, 2024",82.08,83.19,82.08,82.49,81.44,"11,287,700"
"Oct 14, 2024",81.6,82.01,81.47,81.97,80.92,"6,263,000"
"Oct 11, 2024",81.47,81.72,81.11,81.64,80.6,"8,741,500"
"Oct 10, 2024",81.53,81.7,80.99,81.19,80.15,"9,122,600"
"Oct 9, 2024",81.13,81.67,81,81.55,80.51,"9,276,300"
"Oct 8, 2024",80.69,81.16,80.47,81.06,80.03,"8,218,300"
"Oct 7, 2024",81.5,81.5,80.56,80.66,79.63,"9,270,800"
"Oct 4, 2024",81.07,81.57,80.95,81.47,80.43,"12,463,000"
"Oct 3, 2024",81.69,81.81,81.06,81.2,80.16,"11,507,900"
"Oct 2, 2024",82.5,82.51,81.86,82.02,80.97,"10,788,300"
"Oct 1, 2024",83.03,83.14,82.47,82.72,81.66,"15,725,800"
"Sep 30, 2024",83.32,83.48,82.68,83,81.94,"8,468,900"
"Sep 27, 2024",82.98,83.5,82.88,83.02,81.96,"6,432,600"
"Sep 26, 2024",82.53,83.25,82.53,82.87,81.81,"8,565,600"
"Sep 25, 2024",83.18,83.26,82.56,82.68,81.62,"6,100,900"
"Sep 24, 2024",82.98,83.28,82.69,82.89,81.83,"8,985,100"
"Sep 23, 2024",0.439 Dividend,,,,,
"Sep 23, 2024",82.44,83.36,82.38,83.09,82.03,"11,985,900"
"Sep 20, 2024",82.57,83.11,82.43,83.05,81.56,"12,719,100"
"Sep 19, 2024",83.36,83.37,82.52,82.65,81.16,"14,934,200"
"Sep 18, 2024",83.4,83.86,82.8,83.14,81.65,"12,935,600"
"Sep 17, 2024",83.97,84.21,83.36,83.46,81.96,"8,404,900"
"Sep 16, 2024",84.15,84.53,83.87,84.26,82.75,"7,794,600"
"Sep 13, 2024",83.4,84,83.22,83.93,82.42,"5,953,700"
"Sep 12, 2024",82.85,83.43,82.57,83.34,81.84,"8,659,100"
"Sep 11, 2024",83.31,83.37,82.08,82.83,81.34,"14,556,400"
"Sep 10, 2024",83.51,84,83.39,83.61,82.11,"14,002,500"
"Sep 9, 2024",83,83.79,82.86,83.63,82.13,"10,061,000"
"Sep 6, 2024",83.15,83.51,82.89,82.99,81.5,"12,616,500"
"Sep 5, 2024",83.5,83.63,82.74,83.16,81.66,"12,775,800"
"Sep 4, 2024",82.94,83.54,82.86,83.48,81.98,"19,276,700"
"Sep 3, 2024",82.53,83.37,82.43,83.09,81.6,"15,503,700"
"Aug 30, 2024",82.02,82.58,81.8,82.51,81.03,"8,884,800"
"Aug 29, 2024",82.17,82.17,81.69,81.86,80.39,"6,343,700"
"Aug 28, 2024",82.64,82.75,81.96,82.27,80.79,"6,666,800"
"Aug 27, 2024",82.54,82.77,82.31,82.62,81.13,"5,674,600"
"Aug 26, 2024",81.93,82.59,81.92,82.42,80.94,"7,270,700"
"Aug 23, 2024",81.75,81.86,81.33,81.84,80.37,"6,505,100"
"Aug 22, 2024",81.95,81.95,81.26,81.61,80.14,"7,632,600"
"Aug 21, 2024",81.86,82.29,81.5,81.73,80.26,"7,960,700"
"Aug 20, 2024",80.76,81.18,80.63,81.18,79.72,"6,931,200"
"Aug 19, 2024",80.6,80.97,80.57,80.78,79.33,"7,330,000"
"Aug 16, 2024",80.21,80.58,80.08,80.51,79.06,"6,976,700"
"Aug 15, 2024",80.59,80.81,80.05,80.29,78.85,"7,745,200"
"Aug 14, 2024",79.05,79.71,78.92,79.47,78.04,"7,264,000"
"Aug 13, 2024",78.75,79.13,78.35,79.11,77.69,"7,513,900"
"Aug 12, 2024",79.11,79.17,78.55,78.75,77.33,"9,735,300"
"Aug 9, 2024",78.87,79.29,78.53,79.15,77.73,"10,319,800"
"Aug 8, 2024",78.1,79.16,78.02,79.03,77.61,"13,889,800"
"Aug 7, 2024",78.57,79.4,78.27,78.32,76.91,"14,182,300"
"Aug 6, 2024",78.08,79.09,77.99,78.24,76.83,"15,801,400"
"Aug 5, 2024",79.12,79.35,77.44,77.7,76.3,"29,057,400"
"Aug 2, 2024",79.17,79.75,77.8,79.26,77.84,"24,086,900"
"Aug 1, 2024",78,78.74,77.76,78.57,77.16,"16,535,000"
"Jul 31, 2024",77.99,78.34,77.51,77.85,76.45,"10,474,100"
"Jul 30, 2024",77.58,78.12,77.24,77.99,76.59,"11,818,400"
"Jul 29, 2024",78.34,78.69,77.94,78.52,77.11,"9,115,000"
"Jul 26, 2024",78.01,78.58,77.82,78.49,77.08,"10,271,900"
"Jul 25, 2024",78.06,78.88,77.7,77.7,76.3,"15,686,200"
"Jul 24, 2024",77.58,77.93,77.28,77.79,76.39,"10,620,400"
"Jul 23, 2024",78.22,78.36,77.79,77.86,76.46,"6,937,900"
"Jul 22, 2024",78.27,78.33,77.77,78.14,76.74,"9,408,200"
"Jul 19, 2024",78.55,78.65,77.97,78.09,76.69,"11,816,500"
"Jul 18, 2024",78.45,79.15,78.34,78.35,76.94,"14,877,200"
"Jul 17, 2024",77.86,78.89,77.84,78.74,77.32,"18,297,900"
"Jul 16, 2024",77.03,77.75,76.92,77.74,76.34,"7,987,300"
"Jul 15, 2024",77.4,77.6,76.94,77,75.62,"8,481,200"
"Jul 12, 2024",77.52,77.86,77.19,77.45,76.06,"10,028,200"
"Jul 11, 2024",77.29,77.43,76.89,77.11,75.72,"11,414,600"
"Jul 10, 2024",77.2,77.43,77.01,77.4,76.01,"7,249,100"
"Jul 9, 2024",77.26,77.43,77.03,77.06,75.67,"5,635,700"
"Jul 8, 2024",77.44,77.53,77.05,77.26,75.87,"4,486,800"
"Jul 5, 2024",76.44,77.43,76.33,77.38,75.99,"7,202,900"
"Jul 3, 2024",76.44,76.71,76.24,76.44,75.07,"5,600,600"
"Jul 2, 2024",76.13,76.58,75.89,76.57,75.19,"8,233,400"
"Jul 1, 2024",76.98,77.27,75.98,76.04,74.67,"9,275,300"
"Jun 28, 2024",76.91,77,76.38,76.58,75.2,"8,396,900"
"Jun 27, 2024",77.23,77.3,76.6,76.92,75.54,"4,592,300"
"Jun 26, 2024",76.87,77.44,76.71,77.25,75.86,"8,405,200"
"Jun 25, 2024",77.62,77.73,77.11,77.41,76.02,"10,705,700"
"Jun 24, 2024",0.582 Dividend,,,,,
"Jun 24, 2024",77.27,78.01,77.11,77.91,76.51,"9,722,600"
"Jun 21, 2024",77.77,78.17,77.61,77.67,75.7,"11,595,400"
"Jun 20, 2024",77.64,78.01,77.41,77.61,75.64,"9,316,300"
"Jun 18, 2024",77.56,77.88,77.45,77.78,75.81,"6,567,100"
"Jun 17, 2024",76.66,77.82,76.5,77.68,75.71,"8,762,000"
"Jun 14, 2024",76.59,76.95,76.39,76.95,75,"7,246,400"
"Jun 13, 2024",76.68,76.88,76.36,76.81,74.86,"8,723,500"
"Jun 12, 2024",77.71,77.75,76.52,76.71,74.77,"14,172,800"
"Jun 11, 2024",77.49,77.56,76.92,77.56,75.59,"8,583,700"
"Jun 10, 2024",77.78,77.8,77.1,77.6,75.63,"10,033,800"
"Jun 7, 2024",78.03,78.25,77.58,77.66,75.69,"7,490,500"
"Jun 6, 2024",77.76,78.33,77.6,78.05,76.07,"9,759,400"
"Jun 5, 2024",77.88,77.99,77.19,77.81,75.84,"9,095,100"
"Jun 4, 2024",77.32,78.11,77.19,77.98,76,"9,097,500"
"Jun 3, 2024",77.09,77.68,76.86,77.31,75.35,"12,223,400"
"May 31, 2024",76.08,77.38,75.73,77.34,75.38,"11,873,900"
"May 30, 2024",76.17,76.36,75.97,76.15,74.22,"7,404,400"
"May 29, 2024",76.09,76.36,75.92,75.95,74.03,"10,402,400"
"May 28, 2024",76.85,77.06,76.22,76.5,74.56,"8,840,700"
"May 24, 2024",77.17,77.4,77.06,77.1,75.15,"6,943,200"
"May 23, 2024",77.58,77.71,76.86,76.9,74.95,"10,751,300"
"May 22, 2024",77.6,78.08,77.46,77.82,75.85,"9,395,100"
"May 21, 2024",77.88,78.16,77.72,78.13,76.15,"6,595,200"
"May 20, 2024",78.19,78.19,77.58,77.67,75.7,"9,226,400"
"May 17, 2024",78.31,78.38,78.01,78.21,76.23,"11,265,700"
"May 16, 2024",78,78.61,77.83,78.4,76.41,"17,360,400"
"May 15, 2024",77.05,77.42,77.05,77.3,75.34,"18,143,000"
"May 14, 2024",77.47,77.6,76.87,77.25,75.29,"10,117,600"
"May 13, 2024",77.77,78,77.27,77.4,75.44,"11,755,400"
"May 10, 2024",77.17,77.71,77.1,77.62,75.65,"10,774,900"
"May 9, 2024",76.59,77.18,76.54,77.18,75.22,"12,851,900"
"May 8, 2024",76.74,76.89,76.42,76.52,74.58,"12,686,000"
"May 7, 2024",76.24,76.79,76.24,76.75,74.81,"14,641,800"
"May 6, 2024",76.05,76.14,75.43,75.92,74,"12,508,400"
"May 3, 2024",75.68,76.03,75.25,75.88,73.96,"18,088,200"
"May 2, 2024",75.27,75.92,74.98,75.65,73.73,"22,820,400"
"May 1, 2024",75.28,75.57,74.71,75.02,73.12,"24,867,400"
"Apr 30, 2024",75.75,75.77,75.32,75.5,73.59,"12,517,400"
"Apr 29, 2024",75.61,75.86,75.38,75.83,73.91,"9,244,000"
"Apr 26, 2024",75.48,76,75.43,75.59,73.67,"13,488,200"
"Apr 25, 2024",76.09,76.47,75.47,75.75,73.83,"14,352,600"
"Apr 24, 2024",74.84,76.02,74.49,75.93,74.01,"15,011,000"
"Apr 23, 2024",75.27,75.43,75.02,75.36,73.45,"12,821,100"
"Apr 22, 2024",74.59,75.35,74.26,75.15,73.25,"12,181,600"
"Apr 19, 2024",73.69,74.48,73.56,74.44,72.55,"15,841,900"
