Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",75.74,75.95,75.07,75.76,75.23,"8,435,000"
"Dec 27, 2024",75.9,76.3,75.59,76.08,75.54,"6,902,700"
"Dec 26, 2024",76.16,76.51,75.99,76.3,75.76,"5,057,000"
"Dec 24, 2024",76.06,76.5,75.83,76.48,75.94,"4,505,100"
"Dec 23, 2024",0.628 Dividend,,,,,
"Dec 23, 2024",75.61,76.12,74.87,76.06,75.52,"10,057,200"
"Dec 20, 2024",74.8,76.6,74.7,76.43,75.27,"12,594,300"
"Dec 19, 2024",74.96,76.08,74.94,75.23,74.09,"13,538,200"
"Dec 18, 2024",76.65,76.76,74.84,74.89,73.75,"14,905,900"
"Dec 17, 2024",76.54,77.02,76.39,76.7,75.53,"7,938,400"
"Dec 16, 2024",77.71,77.91,76.99,77.02,75.85,"8,060,500"
"Dec 13, 2024",77.7,78.05,77.51,77.64,76.46,"6,904,200"
"Dec 12, 2024",78,78.25,77.52,77.59,76.41,"7,712,500"
"Dec 11, 2024",78.33,78.39,77.49,77.63,76.45,"7,379,800"
"Dec 10, 2024",78.56,78.56,77.49,78.12,76.93,"10,159,500"
"Dec 9, 2024",79.69,79.8,78.64,78.69,77.49,"10,526,900"
"Dec 6, 2024",80.73,80.92,79.54,79.69,78.48,"7,114,300"
"Dec 5, 2024",80.53,81.14,80.32,80.69,79.46,"7,113,000"
"Dec 4, 2024",80.7,80.9,80.13,80.44,79.22,"12,084,700"
"Dec 3, 2024",81.64,81.9,80.43,80.45,79.23,"9,426,800"
"Dec 2, 2024",82.92,82.95,81.12,81.15,79.92,"11,042,100"
"Nov 29, 2024",83.17,83.23,82.75,82.93,81.67,"4,617,400"
"Nov 27, 2024",83.15,83.41,82.82,82.9,81.64,"8,578,300"
"Nov 26, 2024",81.83,82.95,81.62,82.9,81.64,"8,687,400"
"Nov 25, 2024",82.1,82.25,81,81.6,80.36,"7,126,900"
"Nov 22, 2024",82.15,82.27,81.42,81.45,80.21,"7,880,700"
"Nov 21, 2024",80.61,81.99,80.22,81.89,80.64,"10,882,000"
"Nov 20, 2024",80.6,80.87,80.09,80.49,79.27,"6,098,400"
"Nov 19, 2024",79.64,80.46,79.26,80.45,79.23,"5,875,200"
"Nov 18, 2024",79.18,80.16,79.08,79.94,78.72,"7,331,200"
"Nov 15, 2024",78.14,79.35,77.99,79.25,78.04,"11,965,700"
"Nov 14, 2024",78.45,78.85,77.96,78.08,76.89,"8,853,700"
"Nov 13, 2024",79,79.03,78.02,78.35,77.16,"8,205,900"
"Nov 12, 2024",79.16,79.34,78.11,78.49,77.3,"9,351,600"
"Nov 11, 2024",79.19,79.87,79.01,79.4,78.19,"13,005,500"
"Nov 8, 2024",78.08,79.35,78.02,79.18,77.98,"14,428,600"
"Nov 7, 2024",77.94,78.47,77.28,77.69,76.51,"18,851,600"
"Nov 6, 2024",77.35,77.89,76.82,77.55,76.37,"16,479,400"
"Nov 5, 2024",77.16,78.36,76.93,78.36,77.17,"9,508,100"
"Nov 4, 2024",77.35,77.76,76.78,77.2,76.03,"13,978,100"
"Nov 1, 2024",79.9,80.14,78.06,78.13,76.94,"15,430,500"
"Oct 31, 2024",79.29,80.5,79.23,79.91,78.69,"13,758,000"
"Oct 30, 2024",79.59,79.74,78.95,79.09,77.89,"10,455,300"
"Oct 29, 2024",80.11,80.12,79.26,79.28,78.07,"13,866,500"
"Oct 28, 2024",80.81,81.42,80.62,81.01,79.78,"7,311,400"
"Oct 25, 2024",82,82.07,80.32,80.38,79.16,"8,759,100"
"Oct 24, 2024",82.13,82.3,81.32,81.59,80.35,"6,546,000"
"Oct 23, 2024",81.4,82.15,81.25,82.12,80.87,"9,822,500"
"Oct 22, 2024",81.08,81.51,80.69,81.34,80.1,"8,559,600"
"Oct 21, 2024",82.14,82.38,81.31,81.63,80.39,"7,405,800"
"Oct 18, 2024",81.41,81.99,81.05,81.95,80.7,"7,017,600"
"Oct 17, 2024",82.48,82.5,81.42,81.48,80.24,"11,763,600"
"Oct 16, 2024",81.01,82.37,80.65,82.21,80.96,"9,549,800"
"Oct 15, 2024",80.6,81.2,80.52,80.61,79.38,"13,213,800"
"Oct 14, 2024",79.37,80.32,79.22,80.25,79.03,"9,020,900"
"Oct 11, 2024",78.3,79.25,78.05,79.25,78.04,"9,666,300"
"Oct 10, 2024",78.88,79.5,78.52,78.56,77.37,"13,163,300"
"Oct 9, 2024",79.26,79.5,78.35,78.8,77.6,"17,144,000"
"Oct 8, 2024",79.79,80.04,79.47,79.48,78.27,"13,011,100"
"Oct 7, 2024",81.04,81.09,79.23,79.44,78.23,"17,642,000"
"Oct 4, 2024",80.74,81.4,80.48,81.31,80.07,"12,541,400"
"Oct 3, 2024",81.92,82.06,81.24,81.44,80.2,"12,102,700"
"Oct 2, 2024",80.91,81.62,80.77,81.47,80.23,"8,245,800"
"Oct 1, 2024",80.69,81.55,80.2,81.43,80.19,"12,181,200"
"Sep 30, 2024",80.58,80.83,79.86,80.78,79.55,"9,507,100"
"Sep 27, 2024",79.96,80.64,79.88,80.42,79.2,"7,402,000"
"Sep 26, 2024",80.03,80.38,79.41,79.63,78.42,"9,897,300"
"Sep 25, 2024",80.2,80.42,79.48,80.18,78.96,"8,179,600"
"Sep 24, 2024",79.88,80.77,79.59,79.76,78.55,"14,052,600"
"Sep 23, 2024",0.539 Dividend,,,,,
"Sep 23, 2024",80.03,80.4,79.74,80.33,79.11,"11,670,300"
"Sep 20, 2024",79,80.25,78.89,80.08,78.33,"22,139,600"
"Sep 19, 2024",78.2,78.38,77.38,78.02,76.32,"20,768,200"
"Sep 18, 2024",78.94,79.16,78.14,78.48,76.77,"23,517,400"
"Sep 17, 2024",79.18,79.38,78.82,79.08,77.35,"13,981,500"
"Sep 16, 2024",78.79,79.36,78.58,79.14,77.41,"9,955,300"
"Sep 13, 2024",77.71,78.56,77.41,78.54,76.83,"8,119,400"
"Sep 12, 2024",77.45,77.58,76.97,77.45,75.76,"9,667,900"
"Sep 11, 2024",77.05,77.36,76.15,77.28,75.59,"10,383,300"
"Sep 10, 2024",76.82,77.36,76.56,77.04,75.36,"11,627,700"
"Sep 9, 2024",76.24,76.69,75.8,76.68,75.01,"7,183,100"
"Sep 6, 2024",76.81,76.97,75.9,75.91,74.25,"9,802,900"
"Sep 5, 2024",77.41,77.51,76.41,76.64,74.97,"7,772,700"
"Sep 4, 2024",76.55,77.41,76.45,76.83,75.15,"13,651,600"
"Sep 3, 2024",76.31,76.73,75.94,76.18,74.52,"11,813,500"
"Aug 30, 2024",75.86,76.4,75.58,76.29,74.62,"8,503,700"
"Aug 29, 2024",75.56,75.79,74.82,75.72,74.07,"6,379,100"
"Aug 28, 2024",75.54,75.96,75.25,75.31,73.67,"5,241,400"
"Aug 27, 2024",75.75,76.02,75.28,75.31,73.67,"8,333,400"
"Aug 26, 2024",75.68,76.22,75.67,75.91,74.25,"6,668,200"
"Aug 23, 2024",75.47,75.78,75.2,75.42,73.77,"7,525,200"
"Aug 22, 2024",75.38,75.54,74.91,75.21,73.57,"7,324,000"
"Aug 21, 2024",74.88,75.53,74.78,75.3,73.66,"6,725,900"
"Aug 20, 2024",74.93,75.18,74.69,74.77,73.14,"7,994,900"
"Aug 19, 2024",74.51,74.98,74.45,74.93,73.29,"5,752,700"
"Aug 16, 2024",74.19,74.69,73.87,74.44,72.81,"6,761,400"
"Aug 15, 2024",73.69,74.33,73.44,74.11,72.49,"9,403,800"
"Aug 14, 2024",74,74.56,73.57,74.12,72.5,"8,083,000"
"Aug 13, 2024",74.05,74.24,73.72,74.17,72.55,"8,537,500"
"Aug 12, 2024",73.63,73.77,73.19,73.74,72.13,"7,513,500"
"Aug 9, 2024",73.54,73.71,72.35,73.61,72,"8,354,200"
"Aug 8, 2024",73,73.81,72.79,73.36,71.76,"11,680,200"
"Aug 7, 2024",73.47,74.14,73,73.28,71.68,"12,379,400"
"Aug 6, 2024",72.54,73.71,72.49,72.87,71.28,"14,643,200"
"Aug 5, 2024",74.61,74.61,72.18,72.26,70.68,"20,549,900"
"Aug 2, 2024",75.04,75.56,73.21,74.22,72.6,"24,128,600"
"Aug 1, 2024",72.93,74.2,72.84,74.1,72.48,"16,283,700"
"Jul 31, 2024",72.87,72.95,72.09,72.79,71.2,"10,882,700"
"Jul 30, 2024",71.41,71.92,71.26,71.86,70.29,"8,348,200"
"Jul 29, 2024",71.44,71.72,70.86,71.49,69.93,"7,575,600"
"Jul 26, 2024",71.04,71.31,70.78,71.17,69.62,"8,353,200"
"Jul 25, 2024",71.4,71.78,70.18,70.48,68.94,"13,333,000"
"Jul 24, 2024",70.78,71.35,70.35,71.07,69.52,"12,642,400"
"Jul 23, 2024",70.58,70.71,70.23,70.28,68.75,"6,343,200"
"Jul 22, 2024",70.5,70.88,70.26,70.72,69.18,"6,482,700"
"Jul 19, 2024",70.18,70.35,69.71,70.13,68.6,"6,492,700"
"Jul 18, 2024",70.02,70.73,69.93,70.05,68.52,"6,771,300"
"Jul 17, 2024",70,71,69.82,70.11,68.58,"13,758,000"
"Jul 16, 2024",69.95,70.19,69.74,70.07,68.54,"7,504,600"
"Jul 15, 2024",70.46,70.68,69.42,69.53,68.01,"14,913,800"
"Jul 12, 2024",70.99,71.72,70.68,71.26,69.7,"8,262,100"
"Jul 11, 2024",69.82,70.93,69.79,70.74,69.2,"14,883,200"
"Jul 10, 2024",69.08,69.49,68.56,69.47,67.95,"6,900,000"
"Jul 9, 2024",68.62,69.4,68.55,68.82,67.32,"10,800,600"
"Jul 8, 2024",68.61,68.84,68.36,68.62,67.12,"6,817,200"
"Jul 5, 2024",68.54,68.84,68.23,68.55,67.05,"6,915,300"
"Jul 3, 2024",68.12,68.91,67.99,68.43,66.94,"6,620,600"
"Jul 2, 2024",67.83,68.15,67.72,68.02,66.53,"8,362,100"
"Jul 1, 2024",68.85,68.97,67.6,67.67,66.19,"8,378,900"
"Jun 28, 2024",68.91,69,67.82,68.14,66.65,"11,531,500"
"Jun 27, 2024",68.85,69,68.44,68.91,67.41,"5,449,800"
"Jun 26, 2024",68.82,68.94,68.38,68.79,67.29,"6,941,000"
"Jun 25, 2024",69.6,69.79,68.86,69.08,67.57,"12,549,700"
