Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",138.15,138.15,136.73,137.24,136.71,"6,890,300"
"Dec 27, 2024",138.83,139.81,138.36,138.95,138.41,"5,948,000"
"Dec 26, 2024",138.83,139.72,138.68,139.6,139.06,"4,720,300"
"Dec 24, 2024",138.63,139.32,138.04,139.32,138.78,"3,139,300"
"Dec 23, 2024",0.622 Dividend,,,,,
"Dec 23, 2024",137.6,138.95,136.99,138.75,138.22,"8,050,500"
"Dec 20, 2024",137.49,139.29,137.05,138,136.85,"12,098,400"
"Dec 19, 2024",137.06,137.8,135.95,136.28,135.14,"11,929,300"
"Dec 18, 2024",139.12,140.04,137.23,137.32,136.17,"14,448,100"
"Dec 17, 2024",138.7,140.24,138.6,139.21,138.05,"10,280,100"
"Dec 16, 2024",140.88,141.65,139.2,139.31,138.15,"9,476,600"
"Dec 13, 2024",140.83,141.45,140.13,140.99,139.81,"7,599,400"
"Dec 12, 2024",142.17,142.54,140.91,141.01,139.83,"5,994,200"
"Dec 11, 2024",143.52,143.64,142.1,142.14,140.95,"6,895,000"
"Dec 10, 2024",144.99,145.1,143.62,144.1,142.9,"7,200,500"
"Dec 9, 2024",144.42,145.09,143.92,144.7,143.49,"6,258,600"
"Dec 6, 2024",145.29,145.46,144.1,144.28,143.08,"6,545,200"
"Dec 5, 2024",146.09,146.25,144.83,145.1,143.89,"8,948,700"
"Dec 4, 2024",147.08,147.58,146.36,146.74,145.52,"5,597,400"
"Dec 3, 2024",147.14,147.43,146.74,146.82,145.59,"4,236,200"
"Dec 2, 2024",147.32,147.38,146.39,147.15,145.92,"6,220,800"
"Nov 29, 2024",146.94,147.79,146.71,147.41,146.18,"3,521,200"
"Nov 27, 2024",146.31,147.76,146.31,146.95,145.72,"5,952,800"
"Nov 26, 2024",145.83,146.33,144.69,146.17,144.95,"6,018,400"
"Nov 25, 2024",144.81,145.85,144.79,145.39,144.18,"6,834,300"
"Nov 22, 2024",144.33,145.02,143.94,144.16,142.96,"6,330,300"
"Nov 21, 2024",142.88,144.23,142.14,144.03,142.83,"7,969,600"
"Nov 20, 2024",141.51,143.08,141.28,142.88,141.69,"9,328,800"
"Nov 19, 2024",140.65,141.61,140.26,141.21,140.03,"6,205,800"
"Nov 18, 2024",141.47,142.09,141.31,141.94,140.76,"7,933,100"
"Nov 15, 2024",143.72,143.85,141.57,141.84,140.66,"14,246,100"
"Nov 14, 2024",146.58,146.59,144.36,144.52,143.31,"7,936,700"
"Nov 13, 2024",147.16,147.6,146.68,146.83,145.6,"5,981,200"
"Nov 12, 2024",149.06,149.31,147.19,147.22,145.99,"7,022,300"
"Nov 11, 2024",149.85,150.6,149.08,149.3,148.05,"6,071,900"
"Nov 8, 2024",149.31,150.95,149.14,150.18,148.93,"8,701,100"
"Nov 7, 2024",148.93,149.29,148.21,149.11,147.87,"9,381,600"
"Nov 6, 2024",150.67,150.91,147.35,148.04,146.8,"10,685,600"
"Nov 5, 2024",146.48,147.89,145.94,147.85,146.62,"5,035,300"
"Nov 4, 2024",147.38,148.09,146.48,146.77,145.55,"5,985,900"
