Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2024",226.25,227.51,224.63,226.05,225.43,"2,706,500"
"Dec 27, 2024",232.05,232.05,228.63,229.74,229.11,"3,048,600"
"Dec 26, 2024",233.97,234.45,232.57,233.6,232.96,"2,054,800"
"Dec 24, 2024",230.14,234.5,229.95,234.47,233.83,"1,276,300"
"Dec 23, 2024",0.433 Dividend,,,,,
"Dec 23, 2024",228.89,229.4,226.18,229.17,228.54,"2,961,200"
"Dec 20, 2024",226.04,232.51,225.5,228.91,227.85,"5,457,900"
"Dec 19, 2024",231.76,232.42,226.97,228.33,227.27,"6,602,600"
"Dec 18, 2024",237.53,240.28,227.71,228.64,227.58,"7,202,500"
"Dec 17, 2024",239.76,239.93,237.45,239.43,238.32,"5,110,500"
"Dec 16, 2024",236.71,238.85,236.25,238.68,237.57,"3,006,800"
"Dec 13, 2024",234.49,235.59,233.9,235.49,234.4,"2,691,200"
"Dec 12, 2024",236.4,236.66,234.26,234.56,233.47,"2,435,900"
"Dec 11, 2024",234.37,236.6,234.24,236.52,235.42,"2,867,400"
"Dec 10, 2024",232.1,234.6,231.67,232.44,231.36,"3,815,400"
"Dec 9, 2024",234.14,235.57,231.23,232.06,230.99,"3,256,900"
"Dec 6, 2024",229.86,232.85,229.84,232.8,231.72,"2,444,600"
"Dec 5, 2024",226.37,229.03,226.27,228,226.94,"3,660,500"
"Dec 4, 2024",224.55,226.37,224.31,226.15,225.1,"2,769,700"
"Dec 3, 2024",223.8,224.21,222.86,224.07,223.03,"3,525,700"
"Dec 2, 2024",223.87,224.77,223.45,224.24,223.2,"4,067,400"
"Nov 29, 2024",220.53,222.35,220.4,222.3,221.27,"885,700"
"Nov 27, 2024",221.54,221.85,219.51,220.04,219.02,"1,914,500"
"Nov 26, 2024",220.22,221.51,219.87,221.13,220.11,"1,989,800"
"Nov 25, 2024",220.7,222.27,220.22,220.33,219.31,"3,680,200"
"Nov 22, 2024",215.62,218.73,215.62,218.1,217.09,"2,275,300"
"Nov 21, 2024",215.27,215.54,213.34,215,214,"2,734,200"
"Nov 20, 2024",214.93,215.07,212.38,214.62,213.63,"2,989,600"
"Nov 19, 2024",213.42,216.23,212.43,215.57,214.57,"1,967,900"
"Nov 18, 2024",216.01,217.06,214.03,215.41,214.41,"2,376,600"
"Nov 15, 2024",214.07,215.1,212.46,213.44,212.45,"3,912,400"
"Nov 14, 2024",218.02,218.9,215.1,215.28,214.28,"2,310,100"
"Nov 13, 2024",217.99,219.54,217.24,218.38,217.37,"2,941,700"
"Nov 12, 2024",218.9,218.93,215.75,216.53,215.53,"5,267,600"
"Nov 11, 2024",218.5,220.39,217.51,219.46,218.44,"4,605,000"
"Nov 8, 2024",212.08,216.27,211.85,215.12,214.12,"3,892,900"
"Nov 7, 2024",209.83,212.96,209.76,212.11,211.13,"4,010,500"
"Nov 6, 2024",207.55,209.59,205.9,209.42,208.45,"4,699,300"
"Nov 5, 2024",199.85,202.99,199.68,202.93,201.99,"2,212,100"
"Nov 4, 2024",199.25,201.05,198.91,199.4,198.48,"2,384,600"
"Nov 1, 2024",200.51,202.15,199.9,200.09,199.16,"3,803,800"
"Oct 31, 2024",199.5,199.95,196.77,196.89,195.98,"3,098,700"
"Oct 30, 2024",200.71,201.61,199.79,199.95,199.02,"2,439,900"
"Oct 29, 2024",199.61,200.65,198.98,200.23,199.3,"2,123,500"
"Oct 28, 2024",202.39,203.08,201.19,201.28,200.35,"2,051,200"
"Oct 25, 2024",200.54,202.58,200.07,200.81,199.88,"2,720,000"
"Oct 24, 2024",198.3,200.45,197.7,200.18,199.25,"3,495,700"
"Oct 23, 2024",195.58,196.03,193.03,194.06,193.16,"2,169,500"
"Oct 22, 2024",196.44,197.87,195.92,197.16,196.25,"1,578,800"
"Oct 21, 2024",199.07,199.07,197.21,197.96,197.04,"1,652,400"
"Oct 18, 2024",199.15,200.04,198.37,199.51,198.59,"1,898,500"
"Oct 17, 2024",199.26,199.58,198.07,198.73,197.81,"1,744,400"
"Oct 16, 2024",198.06,198.96,197.8,198.91,197.99,"2,303,500"
"Oct 15, 2024",197.5,199.16,197.5,197.87,196.95,"3,427,600"
"Oct 14, 2024",196.98,197.77,196.17,197.44,196.53,"1,783,300"
"Oct 11, 2024",195.43,197.37,195.4,196.58,195.67,"2,495,800"
"Oct 10, 2024",198.04,198.48,196.84,197.42,196.51,"1,629,500"
"Oct 9, 2024",197.64,198.8,196.79,198.4,197.48,"2,768,700"
"Oct 8, 2024",195.96,197.31,195.64,196.99,196.08,"2,366,600"
"Oct 7, 2024",196.71,196.71,194.39,195.09,194.19,"2,601,000"
"Oct 4, 2024",197.74,198.63,196.12,198.17,197.25,"3,914,100"
"Oct 3, 2024",196.15,196.91,194.79,195.58,194.67,"3,550,700"
"Oct 2, 2024",197.2,198.42,196.39,197.87,196.95,"3,741,200"
"Oct 1, 2024",200.25,200.43,196.96,199.56,198.64,"4,114,500"
"Sep 30, 2024",200.29,200.93,198.45,200.37,199.44,"2,286,200"
"Sep 27, 2024",201.3,201.65,200.26,200.84,199.91,"1,720,900"
"Sep 26, 2024",201.46,201.9,199.35,200.54,199.61,"2,133,200"
"Sep 25, 2024",199.72,200.12,199.09,199.69,198.77,"1,694,900"
"Sep 24, 2024",199.65,200.46,198.47,200.41,199.48,"2,029,600"
"Sep 23, 2024",0.405 Dividend,,,,,
"Sep 23, 2024",197.11,198.75,196.7,198.67,197.75,"3,635,600"
"Sep 20, 2024",196.79,196.99,195.23,196.69,195.38,"2,776,200"
"Sep 19, 2024",196.47,197.58,195.83,197.14,195.82,"2,932,700"
"Sep 18, 2024",193.41,196.05,192.52,192.75,191.46,"3,317,300"
"Sep 17, 2024",193.29,195.04,192.53,193.13,191.84,"2,153,900"
"Sep 16, 2024",192.38,192.79,191.11,192.15,190.87,"1,538,600"
"Sep 13, 2024",191.35,192.96,191.11,192.48,191.19,"1,963,100"
"Sep 12, 2024",189.04,191.27,188.82,191.18,189.9,"2,374,300"
"Sep 11, 2024",186.9,189.31,183.01,189.05,187.79,"3,755,600"
"Sep 10, 2024",185.78,187.3,184.67,187.18,185.93,"4,712,300"
"Sep 9, 2024",184.31,185.78,183.82,185.06,183.82,"2,148,700"
"Sep 6, 2024",187.49,188.17,182.32,182.4,181.18,"3,857,000"
"Sep 5, 2024",185.9,188.41,185.72,187.13,185.88,"3,632,100"
"Sep 4, 2024",184.03,185.87,183.79,185.03,183.79,"5,003,800"
"Sep 3, 2024",186.58,187.45,183.7,184.55,183.32,"4,938,200"
"Aug 30, 2024",185.02,187.29,184.28,187.12,185.87,"2,336,100"
"Aug 29, 2024",185.74,186.53,184.17,184.34,183.11,"2,308,000"
"Aug 28, 2024",185.81,186.27,182.65,184.12,182.89,"2,834,300"
"Aug 27, 2024",185.95,186.19,184.66,185.92,184.68,"1,664,100"
"Aug 26, 2024",187.69,188.09,185.83,186.41,185.16,"1,605,500"
"Aug 23, 2024",185.75,188.08,185.72,187.87,186.61,"3,152,100"
"Aug 22, 2024",187.88,188.06,183.97,184.31,183.08,"2,854,900"
"Aug 21, 2024",186.73,187.93,186.31,187.55,186.3,"2,266,100"
"Aug 20, 2024",185.4,186.3,184.67,185.21,183.97,"2,339,500"
"Aug 19, 2024",183.6,185.48,183.42,185.38,184.14,"2,285,000"
"Aug 16, 2024",181.85,183.89,181.85,183.13,181.91,"2,383,900"
"Aug 15, 2024",180.42,182.97,180.42,182.7,181.48,"3,144,000"
"Aug 14, 2024",177.98,178.52,176.34,177.05,175.87,"2,389,900"
"Aug 13, 2024",174.46,178.16,174.12,178,176.81,"2,923,500"
"Aug 12, 2024",174.68,174.68,172.59,173.65,172.49,"2,464,900"
"Aug 9, 2024",173.73,175.15,173.3,174.34,173.18,"3,189,800"
"Aug 8, 2024",171.58,174.23,170.64,173.76,172.6,"2,967,600"
"Aug 7, 2024",174.49,174.8,169.84,170.05,168.91,"4,202,200"
"Aug 6, 2024",172.09,175.54,170.51,173.07,171.91,"4,761,700"
"Aug 5, 2024",167.06,172.95,166.48,171.18,170.04,"8,195,900"
"Aug 2, 2024",176.93,176.93,174.05,176.16,174.98,"6,369,200"
"Aug 1, 2024",187.57,188.13,181.32,182.89,181.67,"3,647,900"
"Jul 31, 2024",186.84,189.06,186.43,187.49,186.24,"2,496,800"
"Jul 30, 2024",186.08,186.33,182.9,184.63,183.4,"2,140,500"
"Jul 29, 2024",183.84,186.34,183.74,185.66,184.42,"3,572,800"
"Jul 26, 2024",181.92,183.57,181.46,182.61,181.39,"2,264,700"
"Jul 25, 2024",181.27,183.76,180.04,180.59,179.38,"5,120,400"
"Jul 24, 2024",184.84,184.92,181.21,181.3,180.09,"4,100,400"
"Jul 23, 2024",190.61,190.91,188.94,189.03,187.77,"2,411,800"
"Jul 22, 2024",189.17,190.54,188.44,189.88,188.61,"2,404,200"
"Jul 19, 2024",188.79,189.56,187.05,187.81,186.56,"1,936,100"
"Jul 18, 2024",191.85,193.08,188.94,189.5,188.23,"2,187,600"
"Jul 17, 2024",193.26,193.75,191.11,191.45,190.17,"2,898,600"
"Jul 16, 2024",192.38,194.79,192.07,194.7,193.4,"2,061,600"
"Jul 15, 2024",192.56,193.9,190.67,191.27,189.99,"2,540,100"
"Jul 12, 2024",188.77,193.11,188.5,191.49,190.21,"2,726,800"
"Jul 11, 2024",192.35,193.66,188.45,189.02,187.76,"4,498,000"
"Jul 10, 2024",190.44,191.63,189.33,191.45,190.17,"2,278,900"
"Jul 9, 2024",189.18,191.22,189.05,190.02,188.75,"1,828,000"
"Jul 8, 2024",189.06,190.22,188.87,189.39,188.12,"1,838,400"
"Jul 5, 2024",188.7,189.42,187.76,189.3,188.04,"1,998,200"
"Jul 3, 2024",187.23,188.47,186.96,187.77,186.52,"2,189,800"
"Jul 2, 2024",184.03,186.6,183.86,186.58,185.33,"2,942,300"
"Jul 1, 2024",183.11,183.87,182.07,183.02,181.8,"3,196,600"
"Jun 28, 2024",183.53,184.71,181.47,182.4,181.18,"3,957,300"
"Jun 27, 2024",183.75,184.47,183.01,184.45,183.22,"2,114,100"
"Jun 26, 2024",180.27,183.7,180.03,183.33,182.11,"2,515,900"
"Jun 25, 2024",181.63,181.63,180.13,180.71,179.5,"2,356,400"
"Jun 24, 2024",0.392 Dividend,,,,,
"Jun 24, 2024",182.64,183.44,181.37,181.44,180.23,"2,538,900"
"Jun 21, 2024",182,182.85,181.14,182.61,181,"4,311,600"
"Jun 20, 2024",180.67,181.52,180.13,181.08,179.48,"2,361,400"
"Jun 18, 2024",181.31,181.53,180.24,180.85,179.26,"2,241,900"
"Jun 17, 2024",178.1,181.91,177.77,181.46,179.86,"3,676,600"
"Jun 14, 2024",179.48,179.48,177.26,178.33,176.76,"3,052,800"
"Jun 13, 2024",180.83,181.18,179.11,179.75,178.17,"2,613,500"
"Jun 12, 2024",179.32,180.77,178.78,179.61,178.03,"3,978,800"
"Jun 11, 2024",178.15,178.15,176.19,177.76,176.19,"2,783,000"
"Jun 10, 2024",177.14,178.41,177.14,178.23,176.66,"1,865,500"
"Jun 7, 2024",177.38,178.74,177.33,177.66,176.09,"2,274,300"
"Jun 6, 2024",177.25,178.46,177.17,178.39,176.82,"2,227,800"
"Jun 5, 2024",176.48,177.1,174.89,177.1,175.54,"2,290,900"
"Jun 4, 2024",175.15,176.79,175.09,176.07,174.52,"2,889,900"
"Jun 3, 2024",176.09,176.67,174.25,175.89,174.34,"3,964,500"
"May 31, 2024",175.11,176.01,173.21,175.97,174.42,"3,420,200"
